tweet_id,created_at,username,name,verified,text,categoria,termos_match,sentimento,likes,retweets
2078612310269055282,2026-07-18T22:46:08.000Z,BarcellosMarcus,Marcus Barcellos,False,"@FlavioBolsonaro @RTdoBrasil @tininhasouzarj Flávio, por favor, evite dupla nagetiva na frase... ao invés de ""não vou cortar"", diga ""vamos manter"". O povo em geral não entende... ovem somente o ""cortar"".",NEUTRO,,0,0,0
2078612232427000156,2026-07-18T22:45:49.000Z,achiare,Ana #BrazilWasStolen ✝🇧🇷,False,@FlavioBolsonaro @tininhasouzarj Misericórdia!!!  Assim não dá.,NEUTRO,,0,2,0
2078612213653217408,2026-07-18T22:45:45.000Z,AntoniodaMatta,Erro 404,False,"@FlavioBolsonaro @bonoroshitzu22 @tininhasouzarj Que tal criar mais umas bolsas? Um bolsa pet, ter pet eh direito de todos e custa caro. Serviria para comprar o filhote, ração, vacinas! Se faltar ideia para criar benemerência com dinheiro público me avisa, temos muitas, posso ajudar! Valeu! 🤣🤣🤣",NEUTRO,,0,5,0
2078611964020900134,2026-07-18T22:44:45.000Z,dricaiarussi,Bom dia Vietinã!,False,@FlavioBolsonaro @tininhasouzarj Presidente,NEUTRO,,0,0,0
2078610676335944166,2026-07-18T22:39:38.000Z,cicaaguiar,eu_que_lute,False,"@FlavioBolsonaro @RTdoBrasil @tininhasouzarj Queremos saber da corrupção, da segurança, da inflação, dos impostos , do livre mercado!",NEUTRO,,0,0,0
2078610179176710245,2026-07-18T22:37:40.000Z,Jamesevander,James,False,"@FlavioBolsonaro @tininhasouzarj Haha já bateu o desespero né, depois que caiu nas pesquisas",NEUTRO,,0,0,0
2078610160084566512,2026-07-18T22:37:35.000Z,PedroLimaSouza5,Darcilene Souza,False,"@FlavioBolsonaro @tininhasouzarj No tempo do presidente Bolsonaro eu recebia o bolsa família e trabalhava, com o ladrão do lula, foi cortado o meu benefício 😏",NEUTRO,,0,0,0
2078609019883716648,2026-07-18T22:33:03.000Z,Martinsfull35,Tania,False,@FlavioBolsonaro @tininhasouzarj 👏👏👏👏 https://t.co/xABQCdjcuY,NEUTRO,,0,4,2
2078608255262310666,2026-07-18T22:30:01.000Z,spedo0811,Andrea 🇧🇷,False,@FlavioBolsonaro @tininhasouzarj https://t.co/BBpqS9W5ms,NEUTRO,,0,0,0
2078607412441792923,2026-07-18T22:26:40.000Z,Joaosmootvqxk,Joao smoot,False,@FlavioBolsonaro @SpaceSireninha @tininhasouzarj Esquerdista desgraçado!,NEUTRO,,0,2,0
2078605997921243346,2026-07-18T22:21:03.000Z,ReneedeOliveir2,Renee de Oliveira,False,@FlavioBolsonaro @MarineSassoo @tininhasouzarj Fala do seu plano de segurança pública que é sensacional 🙌🏻🇧🇷🚀,NEUTRO,,0,1,0
2078605966468096374,2026-07-18T22:20:55.000Z,paulinhose19,Paulo.e,False,"@FlavioBolsonaro @tininhasouzarj Eu faria uma mudança, quem recebe bolsa-familia, e conseguir emprego de carteira assinada, continua recebendo, mas só 50% do valor do Bolsa-familia.  Se a pessoa deixar o emprego, terá que aguardar 1 ano para receber novamente o valor integral.",NEUTRO,,0,0,0
2078605802399560020,2026-07-18T22:20:16.000Z,KyuRa_Kay,Wade Wilson.🇧🇷,False,"@FlavioBolsonaro @tininhasouzarj Ah pohha, não inventa merda. Se for pra eu continuar sustentando vagabundo eu não preciso de você",RETORICA_AGRESSIVA,\bvagabund,0,8,0
2078605366884204850,2026-07-18T22:18:32.000Z,MariaRivan89509,tico é teco amorzinho,False,"@FlavioBolsonaro @tininhasouzarj Muito bem Flávio Bolsonaro,só  quem realmente precisa do bolsa família.",NEUTRO,,0,1,0
2078604619278643658,2026-07-18T22:15:34.000Z,Volski20,Volski,False,@FlavioBolsonaro @RTdoBrasil @tininhasouzarj Única coisa que te ajuda que vc é melhor que Lula. Isso não é muita coisa.,NEUTRO,,0,1,0
2078604116532593083,2026-07-18T22:13:34.000Z,MarineSassoo,Mari Sasso,False,@FlavioBolsonaro @tininhasouzarj Assim como Jair Bolsonaro fez... #FlavioBolsonaroparaPresidentedoBrasil2026,NEUTRO,,0,4,1
2078604015596630389,2026-07-18T22:13:10.000Z,iluccasbr,Lucas,False,@FlavioBolsonaro @tininhasouzarj KKKK vai sim salvador da pátria,NEUTRO,,0,0,0
2078603986127458316,2026-07-18T22:13:03.000Z,a_taschetto,augusto taschetto,False,@FlavioBolsonaro @tininhasouzarj Errado. Não va por este caminho.  Desregulamente a burocracia BB as relações trabalhistas que o emprego volta. Bolsa família faça pente fino para eliminar fraude.,NEUTRO,,0,0,0
2078602690934804676,2026-07-18T22:07:54.000Z,lumenaazevedo14,Lumena Azevedo,False,@FlavioBolsonaro @GuinaHolanda @tininhasouzarj Nosso futuro presidente 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,NEUTRO,,0,2,0
2078602608273441052,2026-07-18T22:07:35.000Z,Elzandreia,Zan Soares,False,"@FlavioBolsonaro @tininhasouzarj Não vai mesmo, vai até dar celular e internet para completar o pacote. Pacote socialista puro. Seu eleitorado não está nada satisfeito com essa promessa descabida. Quem quiser celular que trabalhe e compre. Dê oportunidades.",NEUTRO,,0,90,4
2078602474731020469,2026-07-18T22:07:03.000Z,betty_22fb,Betty⚖️,False,@FlavioBolsonaro @clarke_de_souza @tininhasouzarj @FlavioBolsonaro presidente!💚💛🇧🇷🚀,NEUTRO,,0,2,0
2078602430225207386,2026-07-18T22:06:52.000Z,DigodiasHd,HD,False,@FlavioBolsonaro @tininhasouzarj Kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,NEUTRO,,0,0,0
2078602424416157732,2026-07-18T22:06:51.000Z,fatimakneipp,Fatma Kneipp,False,"@FlavioBolsonaro @tininhasouzarj Tá esquerdando demais, cuidado.",NEUTRO,,0,3,0
2078602291326996721,2026-07-18T22:06:19.000Z,lucaseduar34120,AbcCripto,False,"@FlavioBolsonaro @tininhasouzarj Parabéns feouxonaro, tal pai tal filho",NEUTRO,,1,0,0
2078602229506875814,2026-07-18T22:06:04.000Z,EdinaMelo07,Edina Mello,False,@FlavioBolsonaro @tininhasouzarj Você tem que fazer um vídeo Flávio Bolsonaro sobre isso.,NEUTRO,,0,0,0
2078602222460625340,2026-07-18T22:06:03.000Z,PatDay_Think,combo,False,@FlavioBolsonaro @tininhasouzarj Mas não era isso que você e seus fãs sempre criticaram? Mas pra ganhar voto vale tudo né,NEUTRO,,0,9,0
2078602221021733061,2026-07-18T22:06:02.000Z,kadufonseca38,CarlosFonseca🇧🇷⚫🔴⚪🇾🇪👊,False,@FlavioBolsonaro @tininhasouzarj É Flávio Bolsonaro #22🇧🇷,NEUTRO,,0,1,0
2078602143297085662,2026-07-18T22:05:44.000Z,MichelLizott,Michel Lizott Piccolo,False,@FlavioBolsonaro @tininhasouzarj Está certo .,NEUTRO,,1,0,0
2078601979387941084,2026-07-18T22:05:05.000Z,RodSsabe,Rodrigo Bessa,False,@FlavioBolsonaro @tininhasouzarj Essa decisão é importante mas terás que decidir sobre ser um benefício ou um vitalício !,NEUTRO,,0,0,0
2078601495730172285,2026-07-18T22:03:09.000Z,TrueAgion,Justo Jesus Zoero,False,@FlavioBolsonaro @tininhasouzarj Ainda sim é melhor um bot na presidência que o Lula..,NEUTRO,,0,3,0
2078601371498991912,2026-07-18T22:02:40.000Z,r_mon454,Ramon Wilson Reis de Souza,False,"@FlavioBolsonaro @tininhasouzarj Que papo é esse pra celular, tá faltando neurônios, proposta tipo lula. Tão dizendo que te viram rebolando, meu amigo você tá fazendo campanha pra perder? Para de ser feminista.",NEUTRO,,0,3,0
2078600940173832210,2026-07-18T22:00:57.000Z,CaosDobbb,Agente do caos,False,@FlavioBolsonaro @tininhasouzarj Depois do celular gratuito para todas as mulheres vem o Bolsa família infinito https://t.co/mw7KFL4eYn,NEUTRO,,0,179,7
2078600648619397318,2026-07-18T21:59:47.000Z,Williandelima23,Willian Lima,False,@FlavioBolsonaro @tininhasouzarj Ó o desespero batendo a porta e prometendo coisa nada com nada 🤣🤣🤣🤣🤣🤣🤣🤣,NEUTRO,,0,0,0
2078600410319692170,2026-07-18T21:58:51.000Z,BananinhaGxi,Bananinha Gourmet,False,"@FlavioBolsonaro @tininhasouzarj @allandospanos , @madeleinelacsko @roberta_bastoss",NEUTRO,,0,0,0
2078600350127304887,2026-07-18T21:58:36.000Z,Ultimo_Jubileu,🕎Último Jubileu,False,"@FlavioBolsonaro @tininhasouzarj Flávio, faça um vídeo específico sobre isso. Rápido, objetivo e simples. Algo que viralize a verdade. Vai por mim, que vai dar bom. Explique que Bolsonaro tirou de 190 para 600 e tu vai manter, e vai dar mais oportunidade de emprego. Isso fecha com chave de ouro. Vídeo de 1 min. https://t.co/16Oh3CVIQv",NEUTRO,,0,10,1
2078600340438474891,2026-07-18T21:58:34.000Z,ChinaNetto,@Chinabasquete,False,@FlavioBolsonaro @tininhasouzarj Boa @FlavioBolsonaro venha a público e desmonta imediatamente as narrativas do pt ok 👍 Isso é muito importante para a nossa campanha eleitoral Abs prof China 🏀🇧🇷🇺🇸,NEUTRO,,0,0,0
2078600165934653680,2026-07-18T21:57:52.000Z,thibock,🇧🇷😎🙌🇮🇱🇺🇸👉,False,"@FlavioBolsonaro @tininhasouzarj Dar celular, Internet...... e o povo que pague!",NEUTRO,,0,4,0
2078600100285435956,2026-07-18T21:57:37.000Z,passarcara37612,Pan Troglodytes Patrioticus,False,@FlavioBolsonaro @tininhasouzarj https://t.co/zmIpYbaSrK,NEUTRO,,0,1,0
2078600082455204276,2026-07-18T21:57:32.000Z,georgemarcel91,George Marcel 🇧🇷,False,"@FlavioBolsonaro @tininhasouzarj Aumenta o salário mínimo para R$ 3.000,00",NEUTRO,,0,2,0
2078599948694655135,2026-07-18T21:57:00.000Z,BananinhaGxi,Bananinha Gourmet,False,@FlavioBolsonaro @tininhasouzarj O homem virou de extrema esquerda kkk,NEUTRO,,0,0,0
2078599811952234743,2026-07-18T21:56:28.000Z,figueiredo_tita,Tita Figueiredo,False,"@FlavioBolsonaro @tininhasouzarj Alem de celular , o cara vai continuar dando bolsa familia mesmo trabalhando. Caraca, onde ele vai tirar tanta grana? Pedir pro vocaro nao rola ne?",NEUTRO,,0,3,0
2078599687288869086,2026-07-18T21:55:58.000Z,lisboa_misael,🅼🅸🆂🅰️🅴🅻,False,@FlavioBolsonaro @tininhasouzarj https://t.co/BRXJMsdWIi,NEUTRO,,0,0,0
2078599562265006244,2026-07-18T21:55:28.000Z,Mord1da,Niggolas Ferreira ⬛🟥⬜,False,@FlavioBolsonaro @tininhasouzarj Daqui a poucos chegam os acéfalos da direita que ACHAM UMA ÓTIMA IDEIA o presidenciável de direita dizer que vai cortar o bolsa família a 3 meses da eleição 🤣  Jogo é jogado https://t.co/PW0vZTtNQe,NEUTRO,,0,10,0
2078599492769563030,2026-07-18T21:55:12.000Z,GouveiaElka,Elka R. Gouveia 🏄‍♀️🌺💚,False,@FlavioBolsonaro @RTdoBrasil @tininhasouzarj 👏👏👏👏👏👏👏,NEUTRO,,0,2,0
2078599455276757031,2026-07-18T21:55:03.000Z,Rosanad92108322,Rosana Marson,False,@FlavioBolsonaro @tininhasouzarj 👏👏👏👊🏻🇧🇷,NEUTRO,,0,1,0
2078599443167736180,2026-07-18T21:55:00.000Z,Training_fabiN,FabiN 🇧🇷,False,"@FlavioBolsonaro @clarke_de_souza @tininhasouzarj Num país onde a economia está bem, o salário tem valor, poucos impostos, rendas maiores, pessoas preferindo abrindo seus negócios. Bolsa qualquer coisa não é preocupação. O governo só tem que parar de nos roubar.  Flávio Bolsonaro 🇧🇷🫡",NEUTRO,,0,13,0
2078599367737438629,2026-07-18T21:54:42.000Z,Annlazysc,Anne,False,@FlavioBolsonaro @tininhasouzarj Erro,NEUTRO,,0,0,0
2078599306898989424,2026-07-18T21:54:27.000Z,rogerio_sc,Rogério,False,@FlavioBolsonaro @tininhasouzarj Vai prometer picanha também?,NEUTRO,,0,6,0
2078599198086406439,2026-07-18T21:54:01.000Z,rominhoadaousa,romulus,False,@FlavioBolsonaro @tininhasouzarj E QUANDO SUA FAMÍLIA VAI SAIR DAS TETAS SO ESTADO SEM NUNCA TER TIDO CARTEIRA ASSINADA ? VAGABUNDO !!!,RETORICA_AGRESSIVA,\bvagabund,0,0,0
2078599186430218625,2026-07-18T21:53:59.000Z,gutidoalegrete,Gaucho tchê🇧🇷💪👊,False,"@FlavioBolsonaro @tininhasouzarj Deveria fazer isso com o bpc também, já que o poder aquisitivo se deteriorou por completo e manter os custos está impossível",NEUTRO,,0,1,0
2078599183917826082,2026-07-18T21:53:58.000Z,LavinasJoao,Lavinas2️⃣2️⃣🇧🇷,False,"@FlavioBolsonaro @tininhasouzarj Mas está errado isso, Senador. Se o cara consegue um emprego ele tem que ser desligado do programa imediatamente.",NEUTRO,,0,0,0
2078598929483026546,2026-07-18T21:52:57.000Z,JurandirMacha14,💲O DÓLAR FURADO💲,False,"@FlavioBolsonaro @tininhasouzarj No Brasil, está desse jeito. 🤦‍♂️ https://t.co/ce5OU3lxz3",NEUTRO,,0,3,0
2078598824348487866,2026-07-18T21:52:32.000Z,cidadaocinico,CIDADAOCINICO,False,@FlavioBolsonaro @tininhasouzarj Então deixa o Lula mesmo!!!!,NEUTRO,,0,1,0
2078598645092331927,2026-07-18T21:51:50.000Z,JoseAmaroSant02,(Zezão) Jose Amaro dos Santos 🇧🇷,False,"@FlavioBolsonaro @tininhasouzarj Já é assim hoje, no fundo você quer ser o Lula!",NEUTRO,,0,0,0
2078598598581793033,2026-07-18T21:51:39.000Z,L_falkoski,Lukas Falkoski,False,@FlavioBolsonaro @tininhasouzarj Viche!!!!!  O bicho é pau-ferro mesmo!!!👏🏻,NEUTRO,,0,2,0
2078598511654777240,2026-07-18T21:51:18.000Z,Marc_bunbuns,𝘔𝘢𝘳𝘤 𝘉𝘶𝘯-𝘉𝘶𝘯𝘴™ 🐰🥕,False,"@FlavioBolsonaro @tininhasouzarj Tirar o bolsa-familia &gt;&gt;&gt; dar um emprego para a pessoa ganhar seu dinheiro.  ""Dar a vara de pescar e ensinar á pescar, ao invés de apenas dar os peixes que outros pescaram""",NEUTRO,,0,0,0
2078598468528914599,2026-07-18T21:51:08.000Z,RGGF2016,Mike,False,@FlavioBolsonaro @tininhasouzarj Medo de perder voto?,NEUTRO,,0,0,0
